k,patterns,algorithm,mode,run,iterations,banks,sequences_per_bank,sequence_length,target_bases_per_cell,bases,build_ns,search_ns,total_ns,fixed_ns_per_matcher,build_ns_per_matcher,search_ns_per_base,reference_total_ns,reference_ns_per_base,validation_checksum,matching_records,matches,timed_checksum
10,6,bndmq,all,3,1,43,15504,150,100000000,100000800,58583,140893042,140954375,1426.349,1362.395,1.408919149,140894468.349,1.408933412,883688603394637402,333596,333861,883688603394637402
10,6,bndmq,all,4,1,43,15504,150,100000000,100000800,84416,140548125,140635041,2021.302,1963.163,1.405470006,140550146.302,1.405490219,883688603394637402,333596,333861,883688603394637402
104,64,aho_corasick,all,0,1,4,166668,150,100000000,100000800,6528667,224166792,230731292,1641125.000,1632166.750,2.241649987,225807917.000,2.258061106,14485767178287882083,333336,333336,14485767178287882083
104,64,aho_corasick,all,1,1,4,166668,150,100000000,100000800,7357333,211487709,218909625,1855479.000,1839333.250,2.114860171,213343188.000,2.133414813,14485767178287882083,333336,333336,14485767178287882083
104,64,aho_corasick,all,2,1,4,166668,150,100000000,100000800,6827041,196220875,203067708,1711708.250,1706760.250,1.962193052,197932583.250,1.979309998,14485767178287882083,333336,333336,14485767178287882083
104,64,aho_corasick,all,3,1,4,166668,150,100000000,100000800,6310541,203049959,209414125,1591041.500,1577635.250,2.030483346,204641000.500,2.046393634,14485767178287882083,333336,333336,14485767178287882083
104,64,aho_corasick,all,4,1,4,166668,150,100000000,100000800,6419042,193042916,199516834,1618479.500,1604760.500,1.930413717,194661395.500,1.946598382,14485767178287882083,333336,333336,14485767178287882083
104,64,hash,all,0,1,4,166668,150,100000000,100000800,36500,208801583,208841125,9885.500,9125.000,2.087999126,208811468.500,2.088097980,14485767178287882083,333336,333336,14485767178287882083
104,64,hash,all,1,1,4,166668,150,100000000,100000800,35084,202443334,202481000,9416.500,8771.000,2.024417145,202452750.500,2.024511309,14485767178287882083,333336,333336,14485767178287882083
104,64,hash,all,2,1,4,166668,150,100000000,100000800,29583,202758458,202792416,8489.500,7395.750,2.027568359,202766947.500,2.027653254,14485767178287882083,333336,333336,14485767178287882083
104,64,hash,all,3,1,4,166668,150,100000000,100000800,34125,202837083,202875167,9521.000,8531.250,2.028354603,202846604.000,2.028449812,14485767178287882083,333336,333336,14485767178287882083
104,64,hash,all,4,1,4,166668,150,100000000,100000800,33333,193937083,193973042,8989.750,8333.250,1.939355315,193946072.750,1.939445212,14485767178287882083,333336,333336,14485767178287882083
11,6,hash,all,0,1,43,15504,150,100000000,100000800,82875,229014083,229110500,2242.256,1927.326,2.290122509,229016325.256,2.290144931,9540962536298771519,333409,333468,9540962536298771519
11,6,hash,all,1,1,43,15504,150,100000000,100000800,23334,231132375,231169541,864.326,542.651,2.311305260,231133239.326,2.311313903,9540962536298771519,333409,333468,9540962536298771519
11,6,hash,all,2,1,43,15504,150,100000000,100000800,36791,245431167,245485083,1253.860,855.605,2.454292036,245432420.860,2.454304574,9540962536298771519,333409,333468,9540962536298771519
11,6,hash,all,3,1,43,15504,150,100000000,100000800,22083,281538792,281569625,717.047,513.558,2.815365397,281539509.047,2.815372567,9540962536298771519,333409,333468,9540962536298771519
