k,patterns,algorithm,mode,status,wall_ms,detail
65,2,bndmq,all,invalid,0,BNDMq limit is 64 bytes
65,3,bndmq,all,invalid,0,BNDMq limit is 64 bytes
65,3,hash,all,ok,1020,
65,3,aho_corasick,all,ok,1559,
65,32,hash,all,ok,1366,
65,32,bndmq,all,invalid,0,BNDMq limit is 64 bytes
65,32,aho_corasick,all,ok,1049,
65,4,hash,all,ok,1260,
65,4,bndmq,all,invalid,0,BNDMq limit is 64 bytes
65,4,aho_corasick,all,ok,1177,
65,8,bndmq,all,invalid,0,BNDMq limit is 64 bytes
65,8,hash,all,ok,1736,
65,8,aho_corasick,all,ok,1265,
7,4,bndmq,all,ok,850,
7,4,hash,all,ok,1164,
7,4,aho_corasick,all,ok,722,
8,5,bndmq,all,ok,876,
8,5,aho_corasick,all,ok,726,
8,5,hash,all,ok,1222,
8,6,hash,all,ok,1255,
8,6,aho_corasick,all,ok,756,
8,6,bndmq,all,ok,999,
80,3,aho_corasick,all,ok,1841,
80,3,bndmq,all,invalid,0,BNDMq limit is 64 bytes
80,3,hash,all,ok,1638,
80,360,aho_corasick,all,ok,1282,
80,360,hash,all,ok,2079,
80,360,bndmq,all,invalid,0,BNDMq limit is 64 bytes
80,506,bndmq,all,invalid,0,BNDMq limit is 64 bytes
80,506,hash,all,ok,1394,
80,506,aho_corasick,all,ok,1594,
96,3,aho_corasick,all,ok,2609,
96,3,hash,all,ok,1526,
96,3,bndmq,all,invalid,0,BNDMq limit is 64 bytes
96,360,aho_corasick,all,ok,1892,
96,360,hash,all,ok,2328,
96,360,bndmq,all,invalid,0,BNDMq limit is 64 bytes
96,506,aho_corasick,all,ok,1747,
96,506,bndmq,all,invalid,0,BNDMq limit is 64 bytes
96,506,hash,all,ok,1423,
10,3162,aho_corasick,first,ok,1686,
10,3162,hash,first,ok,3666,
10,3162,bndmq,first,timed_out,54723,
10,5,bndmq,first,ok,612,
10,5,aho_corasick,first,ok,638,
10,5,hash,first,ok,935,
10,5623,hash,first,ok,1510,
10,5623,bndmq,first,timed_out,60029,hard timeout after 60 seconds
10,5623,aho_corasick,first,ok,1559,
10,6,hash,first,ok,960,
10,6,bndmq,first,ok,650,
10,6,aho_corasick,first,ok,620,
11,1000,hash,first,ok,1302,
11,1000,bndmq,first,timed_out,19315,
11,1000,aho_corasick,first,ok,1159,
112,16,bndmq,first,invalid,0,BNDMq limit is 64 bytes
112,16,aho_corasick,first,ok,1398,
112,16,hash,first,ok,1593,
12,506,hash,first,ok,1348,
12,506,aho_corasick,first,ok,959,
12,506,bndmq,first,timed_out,8843,
12,6,hash,first,ok,1347,
12,6,aho_corasick,first,ok,795,
12,6,bndmq,first,ok,695,
12,7,bndmq,first,ok,693,
12,7,aho_corasick,first,ok,639,
12,7,hash,first,ok,1020,
120,16,aho_corasick,first,ok,1102,
120,16,bndmq,first,invalid,0,BNDMq limit is 64 bytes
120,16,hash,first,ok,1315,
128,11,hash,first,ok,1040,
128,11,bndmq,first,invalid,0,BNDMq limit is 64 bytes
128,11,aho_corasick,first,ok,924,
128,13,bndmq,first,invalid,0,BNDMq limit is 64 bytes
128,13,hash,first,ok,1091,
128,13,aho_corasick,first,ok,896,
128,3,aho_corasick,first,ok,1808,
128,3,hash,first,ok,1179,
128,3,bndmq,first,invalid,0,BNDMq limit is 64 bytes
13,8,bndmq,first,ok,675,
13,8,aho_corasick,first,ok,645,
13,8,hash,first,ok,873,
14,8,bndmq,first,ok,809,
14,8,aho_corasick,first,ok,816,
14,8,hash,first,ok,1182,
16,11,hash,first,ok,1464,
16,11,bndmq,first,ok,919,
16,11,aho_corasick,first,ok,851,
16,506,aho_corasick,first,ok,1136,
16,506,bndmq,first,timed_out,7004,one matcher-build plus corpus-search iteration took 6859.781 ms
16,506,hash,first,ok,1401,
16,9,bndmq,first,ok,621,
16,9,hash,first,ok,933,
16,9,aho_corasick,first,ok,645,
20,11,hash,first,ok,1866,
20,11,bndmq,first,ok,786,
20,11,aho_corasick,first,ok,786,
20,506,aho_corasick,first,ok,987,
20,506,hash,first,ok,2128,
20,506,bndmq,first,timed_out,8218,
20,711,aho_corasick,first,ok,1034,
20,711,bndmq,first,timed_out,5909,one matcher-build plus corpus-search iteration took 5813.353 ms
20,711,hash,first,ok,1930,
20,9,bndmq,first,ok,515,
20,9,hash,first,ok,959,
20,9,aho_corasick,first,ok,619,
22,16,bndmq,first,ok,1966,
22,16,aho_corasick,first,ok,1466,
22,16,hash,first,ok,1790,
23,16,bndmq,first,ok,673,
23,16,aho_corasick,first,ok,645,
23,16,hash,first,ok,933,
24,19,aho_corasick,first,ok,705,
24,19,hash,first,ok,1086,
24,19,bndmq,first,ok,821,
24,23,bndmq,first,ok,1753,
24,23,aho_corasick,first,ok,1137,
24,23,hash,first,ok,2402,
24,506,aho_corasick,first,ok,1008,
24,506,bndmq,first,timed_out,5238,one matcher-build plus corpus-search iteration took 5113.587 ms
24,506,hash,first,ok,1247,
24,711,aho_corasick,first,ok,995,
24,711,hash,first,ok,2002,
24,711,bndmq,first,timed_out,5102,one matcher-build plus corpus-search iteration took 4986.772 ms
27,506,bndmq,first,timed_out,3214,one matcher-build plus corpus-search iteration took 3116.231 ms
27,506,aho_corasick,first,ok,898,
27,506,hash,first,ok,941,
31,19,bndmq,first,ok,611,
31,19,hash,first,ok,1279,
31,19,aho_corasick,first,ok,672,
31,23,hash,first,ok,2502,
31,23,aho_corasick,first,ok,946,
31,23,bndmq,first,ok,954,
31,360,aho_corasick,first,ok,837,
31,360,bndmq,first,ok,13727,
31,360,hash,first,ok,2343,
31,506,bndmq,first,timed_out,3698,one matcher-build plus corpus-search iteration took 3576.768 ms
31,506,hash,first,ok,1480,
31,506,aho_corasick,first,ok,1495,
4,108,bndmq,first,ok,729,
4,108,hash,first,ok,226,
4,108,aho_corasick,first,ok,176,
4,3,hash,first,ok,637,
4,3,aho_corasick,first,ok,790,
4,3,bndmq,first,ok,556,
4,91,bndmq,first,ok,750,
4,91,hash,first,ok,231,
4,91,aho_corasick,first,ok,206,
40,19,aho_corasick,first,ok,1073,
40,19,bndmq,first,ok,719,
40,19,hash,first,ok,1215,
40,23,hash,first,ok,1752,
40,23,bndmq,first,ok,997,
40,23,aho_corasick,first,ok,935,
40,360,hash,first,ok,2980,
40,360,bndmq,first,timed_out,2193,one matcher-build plus corpus-search iteration took 2051.270 ms
40,360,aho_corasick,first,ok,991,
40,506,aho_corasick,first,ok,1211,
40,506,hash,first,ok,1104,
40,506,bndmq,first,timed_out,3568,one matcher-build plus corpus-search iteration took 3432.558 ms
44,23,bndmq,first,ok,640,
44,23,hash,first,ok,1948,
44,23,aho_corasick,first,ok,784,
44,506,bndmq,first,timed_out,2480,one matcher-build plus corpus-search iteration took 2345.672 ms
44,506,hash,first,ok,1257,
44,506,aho_corasick,first,ok,1086,
48,23,bndmq,first,ok,711,
48,23,aho_corasick,first,ok,949,
48,23,hash,first,ok,2131,
48,27,bndmq,first,ok,667,
48,27,hash,first,ok,2306,
48,27,aho_corasick,first,ok,895,
48,506,aho_corasick,first,ok,1076,
48,506,hash,first,ok,1206,
48,506,bndmq,first,timed_out,2767,one matcher-build plus corpus-search iteration took 2628.122 ms
48,711,hash,first,ok,1871,
48,711,aho_corasick,first,ok,1312,
48,711,bndmq,first,timed_out,3395,one matcher-build plus corpus-search iteration took 3259.663 ms
5,1,bndmq,first,ok,318,
5,1,hash,first,ok,759,
5,1,aho_corasick,first,ok,325,
5,128,bndmq,first,ok,1930,
5,128,hash,first,ok,285,
5,128,aho_corasick,first,ok,262,
5,256,bndmq,first,ok,1909,
5,256,aho_corasick,first,ok,208,
5,256,hash,first,ok,263,
52,32,aho_corasick,first,ok,1009,
52,32,hash,first,ok,1109,
52,32,bndmq,first,ok,754,
56,256,hash,first,ok,1764,
56,256,bndmq,first,ok,4522,
56,256,aho_corasick,first,ok,1061,
56,32,bndmq,first,ok,628,
56,32,hash,first,ok,1369,
56,32,aho_corasick,first,ok,1364,
56,91,aho_corasick,first,ok,881,
56,91,hash,first,ok,1651,
56,91,bndmq,first,ok,1433,
6,3,bndmq,first,ok,647,
6,3,aho_corasick,first,ok,1156,
6,3,hash,first,ok,841,
60,256,aho_corasick,first,ok,1015,
60,256,hash,first,ok,946,
60,256,bndmq,first,ok,3729,
64,181,hash,first,ok,2418,
64,181,bndmq,first,ok,2757,
64,181,aho_corasick,first,ok,1357,
64,215,hash,first,ok,2738,
64,215,bndmq,first,ok,2847,
64,215,aho_corasick,first,ok,958,
64,45,bndmq,first,ok,979,
64,45,aho_corasick,first,ok,1318,
64,45,hash,first,ok,2105,
64,54,bndmq,first,ok,1213,
64,54,hash,first,ok,2907,
64,54,aho_corasick,first,ok,817,
65,1,hash,first,ok,1419,
65,1,bndmq,first,invalid,0,BNDMq limit is 64 bytes
65,1,aho_corasick,first,ok,699,
65,128,bndmq,first,invalid,0,BNDMq limit is 64 bytes
65,128,hash,first,ok,1686,
65,128,aho_corasick,first,ok,1421,
65,16,bndmq,first,invalid,0,BNDMq limit is 64 bytes
65,16,hash,first,ok,1270,
65,16,aho_corasick,first,ok,835,
65,2,hash,first,ok,1166,
65,2,bndmq,first,invalid,0,BNDMq limit is 64 bytes
65,2,aho_corasick,first,ok,2321,
65,256,hash,first,ok,1544,
65,256,aho_corasick,first,ok,1161,
65,256,bndmq,first,invalid,0,BNDMq limit is 64 bytes
65,3,aho_corasick,first,ok,1354,
65,3,bndmq,first,invalid,0,BNDMq limit is 64 bytes
65,3,hash,first,ok,1252,
65,32,bndmq,first,invalid,0,BNDMq limit is 64 bytes
65,32,aho_corasick,first,ok,952,
65,32,hash,first,ok,1489,
65,4,bndmq,first,invalid,0,BNDMq limit is 64 bytes
65,4,hash,first,ok,1434,
65,4,aho_corasick,first,ok,1038,
65,64,hash,first,ok,1660,
65,64,bndmq,first,invalid,0,BNDMq limit is 64 bytes
65,64,aho_corasick,first,ok,1378,
65,8,bndmq,first,invalid,0,BNDMq limit is 64 bytes
65,8,hash,first,ok,1243,
65,8,aho_corasick,first,ok,890,
7,4,aho_corasick,first,ok,608,
7,4,hash,first,ok,870,
7,4,bndmq,first,ok,689,
72,128,bndmq,first,invalid,0,BNDMq limit is 64 bytes
72,128,hash,first,ok,990,
72,128,aho_corasick,first,ok,899,
72,64,aho_corasick,first,ok,957,
72,64,bndmq,first,invalid,0,BNDMq limit is 64 bytes
72,64,hash,first,ok,999,
8,3162,aho_corasick,first,ok,576,
8,3162,hash,first,ok,784,
8,3162,bndmq,first,timed_out,12579,
8,5,hash,first,ok,944,
8,5,bndmq,first,ok,729,
8,5,aho_corasick,first,ok,609,
