wave,axis,k,patterns,mode,lower_k,upper_k,lower_patterns,upper_patterns,lower_algorithm,upper_algorithm,complete
1,patterns,40,23,first,40,40,16,32,bndmq,aho_corasick,yes
1,patterns,40,45,first,40,40,32,64,aho_corasick,hash,yes
1,patterns,40,54,first,40,40,45,64,aho_corasick,hash,yes
1,patterns,40,59,first,40,40,54,64,aho_corasick,hash,yes
1,patterns,40,70,first,40,40,64,76,hash,aho_corasick,yes
1,patterns,40,76,first,40,40,64,91,hash,aho_corasick,yes
1,patterns,40,91,all,40,40,64,128,aho_corasick,hash,yes
1,patterns,40,108,all,40,40,91,128,aho_corasick,hash,yes
1,patterns,40,108,first,40,40,91,128,aho_corasick,hash,yes
1,patterns,40,118,all,40,40,108,128,aho_corasick,hash,yes
1,patterns,40,118,first,40,40,108,128,aho_corasick,hash,yes
1,patterns,40,139,all,40,40,128,152,hash,aho_corasick,yes
1,patterns,40,152,all,40,40,128,181,hash,aho_corasick,yes
1,patterns,40,215,all,40,40,181,256,aho_corasick,hash,yes
1,patterns,40,235,all,40,40,215,256,aho_corasick,hash,yes
1,k,41,32,first,40,42,32,32,aho_corasick,hash,yes
1,k,42,32,all,40,44,32,32,aho_corasick,hash,yes
1,k,42,32,first,40,44,32,32,aho_corasick,hash,yes
1,k,43,32,all,42,44,32,32,aho_corasick,hash,yes
1,k,44,32,first,40,48,32,32,aho_corasick,hash,yes
1,patterns,44,38,all,44,44,32,45,hash,aho_corasick,yes
1,patterns,44,45,all,44,44,32,64,hash,aho_corasick,yes
1,k,44,64,all,40,48,64,64,aho_corasick,hash,yes
1,patterns,44,91,all,44,44,64,128,aho_corasick,hash,yes
1,patterns,44,108,all,44,44,91,128,aho_corasick,hash,yes
1,k,45,32,all,44,46,32,32,hash,aho_corasick,yes
1,k,45,64,all,44,46,64,64,aho_corasick,hash,yes
1,k,46,32,all,44,48,32,32,hash,aho_corasick,yes
1,patterns,46,45,all,46,46,32,64,aho_corasick,hash,yes
1,k,46,64,all,44,48,64,64,aho_corasick,hash,yes
1,patterns,48,23,all,48,48,16,32,bndmq,aho_corasick,yes
1,patterns,48,23,first,48,48,16,32,bndmq,hash,yes
1,patterns,48,27,all,48,48,23,32,bndmq,aho_corasick,yes
1,patterns,48,27,first,48,48,23,32,bndmq,hash,yes
1,patterns,48,29,all,48,48,27,32,bndmq,aho_corasick,yes
1,patterns,48,29,first,48,48,27,32,bndmq,hash,yes
1,patterns,48,45,all,48,48,32,64,aho_corasick,hash,yes
1,patterns,48,54,all,48,48,45,64,aho_corasick,hash,yes
1,patterns,48,59,all,48,48,54,64,aho_corasick,hash,yes
1,k,50,32,all,48,52,32,32,aho_corasick,hash,yes
1,k,52,32,all,48,56,32,32,aho_corasick,bndmq,yes
1,k,52,32,first,48,56,32,32,hash,bndmq,yes
1,k,54,32,all,52,56,32,32,hash,bndmq,yes
1,k,54,32,first,52,56,32,32,hash,bndmq,yes
1,k,56,32,all,48,64,32,32,aho_corasick,bndmq,yes
1,k,60,32,first,56,64,32,32,bndmq,hash,yes
1,k,62,32,first,60,64,32,32,bndmq,hash,yes
1,patterns,64,23,first,64,64,16,32,bndmq,hash,yes
1,patterns,64,27,first,64,64,23,32,bndmq,hash,yes
1,patterns,64,29,first,64,64,27,32,bndmq,hash,yes
1,patterns,64,35,all,64,64,32,38,bndmq,hash,yes
1,patterns,64,38,all,64,64,32,45,bndmq,aho_corasick,yes
1,patterns,64,41,all,64,64,38,45,hash,aho_corasick,yes
1,patterns,64,45,all,64,64,32,64,bndmq,hash,yes
1,patterns,64,54,all,64,64,45,64,aho_corasick,hash,yes
1,patterns,64,59,all,64,64,54,64,aho_corasick,hash,yes
1,k,65,1,all,64,80,1,1,bndmq,aho_corasick,yes
1,k,65,1,first,64,80,1,1,bndmq,aho_corasick,yes
1,k,65,2,all,64,80,2,2,bndmq,hash,yes
1,k,65,2,first,64,80,2,2,bndmq,hash,yes
