k,q,mode,run,iterations,patterns,sequences_per_pattern,sequence_length,bases,elapsed_ns,ns_per_base,checksum
5,1,first,1,1,256,512,150,19660800,20991292,1.067672323,65536
5,2,first,1,2,256,512,150,39321600,26351542,0.670154368,131072
5,4,first,1,2,256,512,150,39321600,20683959,0.526020279,131072
5,4,first,2,2,256,512,150,39321600,20613542,0.524229482,131072
5,3,first,2,3,256,512,150,58982400,26926208,0.456512587,196608
5,2,first,2,2,256,512,150,39321600,26550375,0.675210953,131072
5,5,first,2,1,256,512,150,19660800,21164542,1.076484273,65536
5,1,first,2,1,256,512,150,19660800,20920083,1.064050446,65536
5,4,first,3,2,256,512,150,39321600,20869750,0.530745188,131072
5,1,first,3,1,256,512,150,19660800,20944333,1.065283864,65536
5,2,first,3,2,256,512,150,39321600,26407708,0.671582743,131072
5,3,first,3,3,256,512,150,58982400,26912292,0.456276652,196608
5,5,first,3,1,256,512,150,19660800,21209917,1.078792165,65536
5,5,first,4,1,256,512,150,19660800,21223417,1.079478811,65536
5,3,first,4,3,256,512,150,58982400,26871875,0.455591414,196608
5,4,first,4,2,256,512,150,39321600,20693792,0.526270345,131072
5,1,first,4,1,256,512,150,19660800,20941417,1.065135549,65536
5,2,first,4,2,256,512,150,39321600,26526416,0.674601644,131072
5,4,first,5,2,256,512,150,39321600,20754125,0.527804693,131072
5,3,first,5,3,256,512,150,58982400,26713709,0.452909834,196608
5,2,first,5,2,256,512,150,39321600,26515583,0.674326146,131072
5,1,first,5,1,256,512,150,19660800,21002916,1.068263550,65536
5,5,first,5,1,256,512,150,19660800,21228708,1.079747925,65536
5,4,first,6,2,256,512,150,39321600,20717333,0.526869024,131072
5,2,first,6,2,256,512,150,39321600,26424041,0.671998113,131072
5,3,first,6,3,256,512,150,58982400,27014000,0.458001031,196608
5,1,first,6,1,256,512,150,19660800,21003417,1.068289032,65536
5,5,first,6,1,256,512,150,19660800,21211667,1.078881175,65536
5,3,first,7,3,256,512,150,58982400,27016500,0.458043416,196608
5,5,first,7,1,256,512,150,19660800,21102083,1.073307444,65536
5,1,first,7,1,256,512,150,19660800,21066958,1.071520894,65536
5,2,first,7,2,256,512,150,39321600,26439041,0.672379583,131072
5,4,first,7,2,256,512,150,39321600,20646875,0.525077184,131072
5,5,first,8,1,256,512,150,19660800,21326334,1.084713440,65536
5,4,first,8,2,256,512,150,39321600,20783500,0.528551737,131072
5,3,first,8,3,256,512,150,58982400,26390083,0.447423011,196608
5,1,first,8,1,256,512,150,19660800,20698500,1.052780151,65536
5,2,first,8,2,256,512,150,39321600,26005500,0.661354065,131072
5,4,first,9,2,256,512,150,39321600,20242666,0.514797618,131072
5,3,first,9,3,256,512,150,58982400,26505542,0.449380527,196608
5,1,first,9,1,256,512,150,19660800,20643708,1.049993286,65536
5,5,first,9,1,256,512,150,19660800,20762542,1.056037496,65536
5,2,first,9,2,256,512,150,39321600,25966958,0.660373891,131072
5,3,first,10,3,256,512,150,58982400,26455458,0.448531392,196608
5,1,first,10,1,256,512,150,19660800,20625083,1.049045970,65536
5,5,first,10,1,256,512,150,19660800,20773833,1.056611786,65536
5,4,first,10,2,256,512,150,39321600,20383334,0.518374990,131072
5,2,first,10,2,256,512,150,39321600,25859000,0.657628377,131072
5,3,first,11,3,256,512,150,58982400,26346166,0.446678433,196608
5,4,first,11,2,256,512,150,39321600,20365000,0.517908732,131072
5,2,first,11,2,256,512,150,39321600,25846000,0.657297770,131072
5,5,first,11,1,256,512,150,19660800,20717583,1.053750763,65536
5,1,first,11,1,256,512,150,19660800,20656625,1.050650279,65536
5,2,first,12,2,256,512,150,39321600,26103959,0.663858007,131072
5,5,first,12,1,256,512,150,19660800,20715375,1.053638458,65536
5,4,first,12,2,256,512,150,39321600,20375833,0.518184230,131072
5,3,first,12,3,256,512,150,58982400,26327250,0.446357727,196608
5,1,first,12,1,256,512,150,19660800,20550292,1.045241903,65536
5,1,first,13,1,256,512,150,19660800,20546417,1.045044810,65536
5,5,first,13,1,256,512,150,19660800,20984458,1.067324727,65536
5,2,first,13,2,256,512,150,39321600,25819000,0.656611125,131072
5,3,first,13,3,256,512,150,58982400,26525250,0.449714661,196608
5,4,first,13,2,256,512,150,39321600,20324209,0.516871363,131072
5,2,first,14,2,256,512,150,39321600,25948000,0.659891764,131072
5,5,first,14,1,256,512,150,19660800,20938959,1.065010529,65536
5,3,first,14,3,256,512,150,58982400,26418375,0.447902679,196608
5,1,first,14,1,256,512,150,19660800,20608208,1.048187663,65536
5,4,first,14,2,256,512,150,39321600,20382667,0.518358027,131072
5,5,all,0,1,256,512,150,19660800,27455458,1.396456807,4862449
5,2,all,0,2,256,512,150,39321600,33089375,0.841506322,9724898
5,3,all,0,2,256,512,150,39321600,22879833,0.581864243,9724898
5,1,all,0,1,256,512,150,19660800,26397083,1.342625071,4862449
5,4,all,0,2,256,512,150,39321600,26633459,0.677323888,9724898
