k,q,mode,runs,median_ns_per_base,mean_ns_per_base,stddev_ns_per_base,min_ns_per_base,max_ns_per_base,slower_than_best_pct
19,12,all,15,0.380105625,0.380905809,0.003454853,0.378697001,0.392851647,95.4330
19,12,first,15,0.328696035,0.336458031,0.015701764,0.321446520,0.363632304,93.2568
20,1,all,15,0.500693851,0.501059309,0.006601934,0.489882728,0.512173258,156.2904
20,1,first,15,0.407981160,0.420339562,0.035942261,0.404433492,0.547729780,142.1457
20,2,all,15,0.424319373,0.425012470,0.005580448,0.418080936,0.435796661,117.1965
20,2,first,15,0.334919128,0.338646880,0.007476008,0.330798543,0.353108164,98.7818
20,3,all,15,0.320836703,0.324447736,0.007151481,0.318193436,0.341940982,64.2268
20,3,first,15,0.262771721,0.265822339,0.007536095,0.257938169,0.281364644,55.9608
20,4,all,15,0.215164185,0.218025998,0.005077081,0.212857992,0.230455180,10.1362
20,4,first,15,0.178322610,0.180783566,0.004889313,0.176578445,0.191618245,5.8384
20,5,all,15,0.195361947,0.197139387,0.005181625,0.193369480,0.210215251,0.0000
20,5,first,15,0.168485790,0.168938691,0.001876836,0.167120979,0.174986216,0.0000
20,6,all,15,0.197724236,0.199169984,0.004887768,0.195942985,0.214630059,1.2092
20,6,first,15,0.173991877,0.174334703,0.002990341,0.170994865,0.179840012,3.2680
20,7,all,15,0.215804209,0.217745069,0.004407762,0.213788767,0.227514903,10.4638
20,7,first,15,0.183704164,0.186427200,0.005138441,0.182176522,0.198858049,9.0324
20,8,all,15,0.234492828,0.237618538,0.008177235,0.231632233,0.257901082,20.0299
20,8,first,15,0.202330127,0.204134858,0.004404356,0.199555639,0.213866060,20.0874
20,9,all,15,0.251032084,0.254925620,0.007082973,0.248298645,0.269520650,28.4959
20,9,first,15,0.214036733,0.219605792,0.010914865,0.211374491,0.251928965,27.0355
20,10,all,15,0.278781789,0.281693884,0.006034779,0.274759928,0.296629804,42.7001
20,10,first,15,0.235621979,0.239427299,0.006814095,0.233484477,0.256497701,39.8468
20,11,all,15,0.321379776,0.322210665,0.006277578,0.313108241,0.333526929,64.5048
20,11,first,15,0.268526599,0.274247450,0.020761038,0.264459178,0.348384641,59.3764
