k,patterns,mode,transition,from_algorithm,to_algorithm,crossover_bases,bootstrap_ci_low_bases,bootstrap_ci_high_bases,bootstrap_transition_support_pct
40,8,first,0,hash,bndmq,3300.596059,2616.873896,8739.602328,100.00
40,16,all,0,hash,bndmq,9764.834498,8369.163288,13273.771623,100.00
40,16,first,0,hash,bndmq,15442.739927,13138.571454,41759.964928,100.00
40,32,all,0,hash,aho_corasick,18558794.423030,1433590.420013,47996171.819708,77.00
40,32,first,0,hash,aho_corasick,4297836.985660,2935333.619536,16976196.431963,93.20
40,64,all,0,hash,aho_corasick,96852080.418584,7000752.391624,98843879.327995,66.80
48,1,all,0,hash,bndmq,232.557165,118.226290,472.464443,100.00
48,1,first,0,hash,bndmq,317.682240,234.242037,594.679732,100.00
48,2,all,0,hash,bndmq,627.012758,489.733684,890.247330,100.00
48,2,first,0,hash,bndmq,908.978399,770.572459,1261.101680,100.00
48,4,all,0,hash,bndmq,1112.865401,999.475535,4456.325208,100.00
48,4,first,0,hash,bndmq,1829.997299,1306.041587,8380.134353,100.00
48,8,all,0,hash,bndmq,2288.067912,2003.588617,6016.913417,100.00
48,8,first,0,hash,bndmq,2302.907228,2238.382300,3404.967624,100.00
48,16,all,0,hash,bndmq,6532.622592,5605.867774,8573.837978,100.00
48,16,first,0,hash,bndmq,11495.704431,9080.249120,63008.851037,100.00
48,32,all,0,hash,aho_corasick,6104980.593171,2996870.038828,3380901556.434386,97.90
64,1,all,0,hash,bndmq,285.923063,218.983270,537.494594,100.00
64,1,first,0,hash,bndmq,532.982459,379.096362,1403.336360,100.00
64,2,all,0,hash,bndmq,635.645102,578.256540,974.608062,100.00
64,2,first,0,hash,bndmq,893.264906,804.537720,1419.405163,100.00
64,4,all,0,hash,bndmq,1214.803536,1152.794729,1638.571894,100.00
64,4,first,0,hash,bndmq,1561.778325,1361.444829,4640.045988,100.00
64,8,all,0,hash,bndmq,3094.526826,2109.144916,3970.893302,100.00
64,8,first,0,hash,bndmq,3940.408655,2785.290530,4312.060896,100.00
64,16,all,0,hash,bndmq,5081.668069,4409.579649,10244.301863,100.00
64,16,first,0,hash,bndmq,8825.670582,7260.020870,25057.338190,100.00
64,32,all,0,hash,bndmq,39560.738979,29454.488527,61570.632604,100.00
80,1,all,0,hash,aho_corasick,50048.456073,43526.581457,61989.612837,100.00
80,1,first,0,hash,aho_corasick,31260.310633,28632.123963,34142.251605,100.00
96,1,all,0,hash,aho_corasick,83164.447691,70301.661024,118218.068627,100.00
96,1,first,0,hash,aho_corasick,35205.574310,33392.835487,39954.173536,100.00
128,1,first,0,hash,aho_corasick,47408.838133,43259.574334,54578.508087,100.00
