k,patterns,mode,algorithm,runs,median_build_ms_per_matcher,median_search_ns_per_base,median_reference_ns_per_base,mean_reference_ns_per_base,stddev_reference_ns_per_base,min_reference_ns_per_base,max_reference_ns_per_base,slower_than_best_pct
6,2,all,hash,5,0.000237,1.866897707,1.866901320,1.867973013,0.005178494,1.863633922,1.876854645,94.3754
6,2,first,aho_corasick,5,0.009580,3.083047030,3.083150812,3.086423460,0.023399210,3.066111773,3.124936492,313.1041
6,2,first,bndmq,5,0.000357,0.746334059,0.746337522,0.747424059,0.004121424,0.744555325,0.754550127,0.0000
6,2,first,hash,5,0.000203,1.388880143,1.388883437,1.389006216,0.002240500,1.386430525,1.392460092,86.0932
6,3,all,aho_corasick,5,0.011219,2.900659126,2.900776871,2.905444877,0.032546566,2.871546996,2.946443676,100.0793
6,3,all,bndmq,5,0.000813,1.449806925,1.449813818,1.449281594,0.008768583,1.435625228,1.459998625,0.0000
6,3,all,hash,5,0.000404,2.007583859,2.007588611,2.014205224,0.016703756,1.997532978,2.038864468,38.4722
6,3,first,aho_corasick,5,0.011352,2.080212063,2.080326300,2.089505772,0.014063173,2.078686526,2.109909518,93.8286
6,3,first,bndmq,5,0.000758,1.073272211,1.073281468,1.075953941,0.005738541,1.071988560,1.086003739,0.0000
6,3,first,hash,5,0.000342,1.466943481,1.466951905,1.468918787,0.011647321,1.455901177,1.485521666,36.6791
6,4,all,aho_corasick,5,0.012077,1.251689374,1.251812678,1.272357462,0.046755865,1.250274945,1.355977659,0.0000
6,4,all,bndmq,5,0.001056,1.867178911,1.867186521,1.872313481,0.018161777,1.860576560,1.904122636,49.1586
6,4,all,hash,5,0.000459,2.150999672,2.151007985,2.161904052,0.043298051,2.116473541,2.212459640,71.8315
6,4,first,aho_corasick,5,0.012240,0.979803335,0.979931470,0.993081889,0.022340064,0.975851351,1.024924083,0.0000
6,4,first,bndmq,5,0.001069,1.380784510,1.380791677,1.385045357,0.010905502,1.378190102,1.404271939,40.9070
6,4,first,hash,5,0.000379,1.514434902,1.514438554,1.523560499,0.020100477,1.512544689,1.559381604,54.5454
6,8,all,aho_corasick,5,0.018029,1.265172014,1.265359287,1.269405742,0.005882438,1.264775243,1.276804767,0.0000
6,8,all,bndmq,5,0.001913,3.586074836,3.586093181,3.586529948,0.014031340,3.568207526,3.600248532,183.4051
6,8,all,hash,5,0.000596,2.137991164,2.137997440,2.138111693,0.007568658,2.127639426,2.149031794,68.9637
6,8,first,aho_corasick,5,0.017501,0.937196260,0.937380538,0.940449419,0.010113749,0.931075583,0.954344464,0.0000
6,8,first,bndmq,5,0.002503,2.560685558,2.560725752,2.571318131,0.056506175,2.518716797,2.655843792,173.1789
