k,patterns,mode,best_algorithm,median_reference_ns_per_base,second_algorithm,margin_pct
31,1,first,bndmq,0.252978682,aho_corasick,17.1969
31,2,all,bndmq,0.418425866,hash,364.2679
31,2,first,bndmq,0.338072713,hash,310.4145
31,4,all,bndmq,0.640304494,hash,221.8346
31,4,first,bndmq,0.509463924,hash,196.4041
31,8,all,bndmq,1.063834038,aho_corasick,97.4311
31,8,first,bndmq,0.859243258,aho_corasick,82.8686
31,16,all,bndmq,1.977359629,aho_corasick,9.4949
31,16,first,bndmq,1.469931513,aho_corasick,9.2968
31,32,all,aho_corasick,2.165761204,hash,9.6957
31,32,first,aho_corasick,1.677046265,hash,3.1452
31,64,all,aho_corasick,2.192123551,hash,7.6143
31,64,first,aho_corasick,1.658998303,hash,2.9914
31,128,all,aho_corasick,2.381800821,hash,2.0378
31,128,first,hash,1.771834226,aho_corasick,4.4517
31,256,all,hash,2.458307433,aho_corasick,19.3102
31,256,first,hash,1.801743647,aho_corasick,22.4642
31,1000,all,hash,2.411058498,aho_corasick,86.1663
31,1000,first,hash,1.738964552,aho_corasick,98.9713
31,10000,all,hash,2.748008014,aho_corasick,281.2508
31,10000,first,hash,2.072390685,aho_corasick,346.1219
31,100000,all,hash,5.245813818,,
31,100000,first,hash,4.062760134,,
31,1000000,all,hash,7.336934746,,
31,1000000,first,hash,6.249935110,,
40,1,all,bndmq,0.259703169,aho_corasick,272.2180
40,1,first,bndmq,0.265172132,aho_corasick,109.6188
40,2,all,bndmq,0.350715884,hash,425.6348
40,2,first,bndmq,0.320484035,hash,336.5068
40,4,all,bndmq,0.543184921,hash,269.9898
40,4,first,bndmq,0.476205520,hash,213.9822
40,8,all,bndmq,0.933719758,aho_corasick,126.1135
40,8,first,bndmq,0.748760522,aho_corasick,113.5328
40,16,all,bndmq,1.745732937,aho_corasick,21.0458
40,16,first,bndmq,1.271559964,aho_corasick,28.3096
40,32,all,aho_corasick,2.145996701,hash,10.2906
40,32,first,aho_corasick,1.643360389,hash,1.9259
40,64,all,aho_corasick,2.223510014,hash,7.4098
40,64,first,hash,1.731051987,aho_corasick,3.0235
40,128,all,aho_corasick,2.449042482,hash,0.2134
40,128,first,hash,1.757023381,aho_corasick,10.8329
40,256,all,hash,2.380656309,aho_corasick,31.9016
40,256,first,hash,1.693303413,aho_corasick,46.6870
40,1000,all,hash,2.318055114,aho_corasick,94.4507
40,1000,first,hash,1.676606707,aho_corasick,113.6173
40,10000,all,hash,2.787697825,aho_corasick,377.6071
40,10000,first,hash,2.165271269,aho_corasick,386.6753
40,100000,all,hash,5.613617183,,
40,100000,first,hash,4.664489071,,
40,1000000,all,hash,7.430194900,,
40,1000000,first,hash,6.206109898,,
48,1,all,bndmq,0.262652315,aho_corasick,276.7492
48,1,first,bndmq,0.288644739,aho_corasick,84.6686
48,2,all,bndmq,0.336599586,hash,443.7388
48,2,first,bndmq,0.337252941,hash,309.5154
48,4,all,bndmq,0.476178374,hash,309.5210
48,4,first,bndmq,0.461123352,hash,217.4341
48,8,all,bndmq,0.803091952,aho_corasick,158.4986
48,8,first,bndmq,0.673136487,aho_corasick,148.5038
48,16,all,bndmq,1.328494858,aho_corasick,58.7848
48,16,first,bndmq,1.082321544,hash,52.7677
48,32,all,aho_corasick,2.169989844,hash,0.8365
48,32,first,hash,1.630607666,aho_corasick,3.5902
48,64,all,aho_corasick,2.217979726,hash,0.0075
