k,patterns,algorithm,mode,run,iterations,banks,sequences_per_bank,sequence_length,target_bases_per_cell,bases,build_ns,search_ns,total_ns,fixed_ns_per_matcher,build_ns_per_matcher,search_ns_per_base,reference_total_ns,reference_ns_per_base,validation_checksum,matching_records,matches,timed_checksum
4,16,aho_corasick,first,4,1,16,41668,150,100000000,100003200,573831,38297502,38893625,37257.688,35864.438,0.382962765,38334759.688,0.383335330,16049494105963295624,666658,666658,16049494105963295624
4,32,hash,first,0,1,8,83334,150,100000000,100000800,19266,44227990,44252335,3043.125,2408.250,0.442276362,44231033.125,0.442306793,8490852710480701767,666672,666672,8490852710480701767
4,32,hash,first,1,1,8,83334,150,100000000,100000800,21560,43346995,43372052,3132.125,2695.000,0.433466482,43350127.125,0.433497803,8490852710480701767,666672,666672,8490852710480701767
4,32,hash,first,2,1,8,83334,150,100000000,100000800,9107,56835330,56849096,1720.750,1138.375,0.568348753,56837050.750,0.568365961,8490852710480701767,666672,666672,8490852710480701767
4,32,hash,first,3,1,8,83334,150,100000000,100000800,11682,49024331,49040281,1993.750,1460.250,0.490239388,49026324.750,0.490259325,8490852710480701767,666672,666672,8490852710480701767
4,32,hash,first,4,1,8,83334,150,100000000,100000800,26810,45791966,45825198,4154.000,3351.250,0.457915997,45796120.000,0.457957536,8490852710480701767,666672,666672,8490852710480701767
4,32,aho_corasick,first,0,1,8,83334,150,100000000,100000800,335616,31749632,32098292,43582.500,41952.000,0.317493780,31793214.500,0.317929602,8490852710480701767,666672,666672,8490852710480701767
4,32,aho_corasick,first,1,1,8,83334,150,100000000,100000800,413291,31402992,31829047,53256.875,51661.375,0.314027408,31456248.875,0.314559972,8490852710480701767,666672,666672,8490852710480701767
4,32,aho_corasick,first,2,1,8,83334,150,100000000,100000800,330727,32416357,32758025,42708.500,41340.875,0.324160977,32459065.500,0.324588058,8490852710480701767,666672,666672,8490852710480701767
4,32,aho_corasick,first,3,1,8,83334,150,100000000,100000800,293388,30916235,31222006,38221.375,36673.500,0.309159877,30954456.375,0.309542087,8490852710480701767,666672,666672,8490852710480701767
4,32,aho_corasick,first,4,1,8,83334,150,100000000,100000800,306281,32625385,32947437,40256.500,38285.125,0.326251240,32665641.500,0.326653802,8490852710480701767,666672,666672,8490852710480701767
4,32,bndmq,first,0,1,8,83334,150,100000000,100000800,210830,281823147,282091524,33547.125,26353.750,2.818208924,281856694.125,2.818544393,8490852710480701767,666672,666672,8490852710480701767
