k,patterns,mode,region,algorithm,min_bases_inclusive,max_bases_exclusive
12,100000,first,0,hash,0.000000,
12,1000000,all,0,hash,0.000000,
12,1000000,first,0,hash,0.000000,
16,1,all,0,bndmq,0.000000,
16,1,first,0,bndmq,0.000000,
16,2,all,0,hash,0.000000,35.583559
16,2,all,1,bndmq,35.583559,
16,2,first,0,hash,0.000000,67.268953
16,2,first,1,bndmq,67.268953,
16,4,all,0,hash,0.000000,152.466002
16,4,all,1,bndmq,152.466002,
16,4,first,0,hash,0.000000,231.702372
16,4,first,1,bndmq,231.702372,
16,8,all,0,hash,0.000000,852.542052
16,8,all,1,bndmq,852.542052,
16,8,first,0,hash,0.000000,1018.881020
16,8,first,1,bndmq,1018.881020,
16,16,all,0,hash,0.000000,7285.371025
16,16,all,1,bndmq,7285.371025,57499.588856
16,16,all,2,aho_corasick,57499.588856,
16,16,first,0,hash,0.000000,26081.118263
16,16,first,1,bndmq,26081.118263,79130.351570
16,16,first,2,aho_corasick,79130.351570,
16,32,all,0,hash,0.000000,102994.524978
16,32,all,1,aho_corasick,102994.524978,
16,32,first,0,hash,0.000000,153418.608645
16,32,first,1,aho_corasick,153418.608645,
16,64,all,0,hash,0.000000,180490.463805
16,64,all,1,aho_corasick,180490.463805,
16,64,first,0,hash,0.000000,269654.699473
16,64,first,1,aho_corasick,269654.699473,
16,128,all,0,hash,0.000000,470823.528036
16,128,all,1,aho_corasick,470823.528036,
16,128,first,0,hash,0.000000,747245.545724
16,128,first,1,aho_corasick,747245.545724,
16,256,all,0,hash,0.000000,959607.399178
16,256,all,1,aho_corasick,959607.399178,
16,256,first,0,hash,0.000000,1551145.250233
16,256,first,1,aho_corasick,1551145.250233,
16,1000,all,0,hash,0.000000,21797118.624359
16,1000,all,1,aho_corasick,21797118.624359,
16,1000,first,0,hash,0.000000,
16,10000,all,0,hash,0.000000,
16,10000,first,0,hash,0.000000,
16,100000,all,0,hash,0.000000,
16,100000,first,0,hash,0.000000,
16,1000000,all,0,hash,0.000000,
16,1000000,first,0,hash,0.000000,
20,1,all,0,bndmq,0.000000,
20,1,first,0,bndmq,0.000000,
20,2,all,0,hash,0.000000,51.054093
20,2,all,1,bndmq,51.054093,
20,2,first,0,hash,0.000000,55.042871
20,2,first,1,bndmq,55.042871,
20,4,all,0,hash,0.000000,124.847463
20,4,all,1,bndmq,124.847463,
20,4,first,0,hash,0.000000,168.843758
20,4,first,1,bndmq,168.843758,
20,8,all,0,hash,0.000000,575.457391
20,8,all,1,bndmq,575.457391,
20,8,first,0,hash,0.000000,819.597124
20,8,first,1,bndmq,819.597124,
20,16,all,0,hash,0.000000,2801.881140
20,16,all,1,bndmq,2801.881140,139204.603158
20,16,all,2,aho_corasick,139204.603158,
20,16,first,0,hash,0.000000,3831.828009
20,16,first,1,bndmq,3831.828009,200108.297640
20,16,first,2,aho_corasick,200108.297640,
20,32,all,0,hash,0.000000,110675.703963
20,32,all,1,aho_corasick,110675.703963,
20,32,first,0,hash,0.000000,159410.094523
20,32,first,1,aho_corasick,159410.094523,
20,64,all,0,hash,0.000000,250190.084020
20,64,all,1,aho_corasick,250190.084020,
20,64,first,0,hash,0.000000,366844.738259
20,64,first,1,aho_corasick,366844.738259,
20,128,all,0,hash,0.000000,367444.380945
20,128,all,1,aho_corasick,367444.380945,
20,128,first,0,hash,0.000000,557282.953755
20,128,first,1,aho_corasick,557282.953755,
20,256,all,0,hash,0.000000,1263907.154734
20,256,all,1,aho_corasick,1263907.154734,
20,256,first,0,hash,0.000000,2096893.883842
20,256,first,1,aho_corasick,2096893.883842,
20,1000,all,0,hash,0.000000,37284829.116531
20,1000,all,1,aho_corasick,37284829.116531,
20,1000,first,0,hash,0.000000,
20,10000,all,0,hash,0.000000,
20,10000,first,0,hash,0.000000,
20,100000,all,0,hash,0.000000,
20,100000,first,0,hash,0.000000,
20,1000000,all,0,hash,0.000000,
20,1000000,first,0,hash,0.000000,
24,1,all,0,bndmq,0.000000,
24,1,first,0,bndmq,0.000000,
24,2,all,0,hash,0.000000,31.401467
24,2,all,1,bndmq,31.401467,
24,2,first,0,hash,0.000000,30.736613
24,2,first,1,bndmq,30.736613,
24,4,all,0,hash,0.000000,131.526240
24,4,all,1,bndmq,131.526240,
24,4,first,0,hash,0.000000,181.182231
24,4,first,1,bndmq,181.182231,
24,8,all,0,hash,0.000000,500.264641
24,8,all,1,bndmq,500.264641,
24,8,first,0,hash,0.000000,713.853285
24,8,first,1,bndmq,713.853285,
24,16,all,0,hash,0.000000,1686.732581
24,16,all,1,bndmq,1686.732581,445218.640552
24,16,all,2,aho_corasick,445218.640552,
24,16,first,0,hash,0.000000,2373.465966
24,16,first,1,bndmq,2373.465966,980735.585198
24,16,first,2,aho_corasick,980735.585198,
24,32,all,0,hash,0.000000,186255.520728
24,32,all,1,aho_corasick,186255.520728,
24,32,first,0,hash,0.000000,283581.553834
24,32,first,1,aho_corasick,283581.553834,
24,64,all,0,hash,0.000000,223137.156180
24,64,all,1,aho_corasick,223137.156180,
24,64,first,0,hash,0.000000,329246.237756
24,64,first,1,aho_corasick,329246.237756,
24,128,all,0,hash,0.000000,747576.018821
24,128,all,1,aho_corasick,747576.018821,
24,128,first,0,hash,0.000000,1215862.565382
24,128,first,1,aho_corasick,1215862.565382,
24,256,all,0,hash,0.000000,1204581.763306
24,256,all,1,aho_corasick,1204581.763306,
24,256,first,0,hash,0.000000,2053753.757756
24,256,first,1,aho_corasick,2053753.757756,
24,1000,all,0,hash,0.000000,
24,1000,first,0,hash,0.000000,
24,10000,all,0,hash,0.000000,
24,10000,first,0,hash,0.000000,
24,100000,all,0,hash,0.000000,
24,100000,first,0,hash,0.000000,
24,1000000,all,0,hash,0.000000,
24,1000000,first,0,hash,0.000000,
31,1,all,0,bndmq,0.000000,
31,1,first,0,hash,0.000000,18.119496
31,1,first,1,bndmq,18.119496,
31,2,all,0,hash,0.000000,51.219305
31,2,all,1,bndmq,51.219305,
31,2,first,0,hash,0.000000,69.615107
31,2,first,1,bndmq,69.615107,
31,4,all,0,hash,0.000000,140.812839
31,4,all,1,bndmq,140.812839,
31,4,first,0,hash,0.000000,148.209974
31,4,first,1,bndmq,148.209974,
31,8,all,0,hash,0.000000,476.415610
31,8,all,1,bndmq,476.415610,
31,8,first,0,hash,0.000000,678.026341
31,8,first,1,bndmq,678.026341,
31,16,all,0,hash,0.000000,1464.575079
31,16,all,1,bndmq,1464.575079,
31,16,first,0,hash,0.000000,2085.560418
31,16,first,1,bndmq,2085.560418,
31,32,all,0,hash,0.000000,22126.129902
31,32,all,1,bndmq,22126.129902,252174.974810
31,32,all,2,aho_corasick,252174.974810,
31,32,first,0,hash,0.000000,46258.412373
31,32,first,1,bndmq,46258.412373,354246.160983
31,32,first,2,aho_corasick,354246.160983,
31,64,all,0,hash,0.000000,385659.809122
31,64,all,1,aho_corasick,385659.809122,
31,64,first,0,hash,0.000000,587792.833798
31,64,first,1,aho_corasick,587792.833798,
31,128,all,0,hash,0.000000,631601.789216
31,128,all,1,aho_corasick,631601.789216,
31,128,first,0,hash,0.000000,972705.949823
31,128,first,1,aho_corasick,972705.949823,
31,256,all,0,hash,0.000000,2019564.833745
31,256,all,1,aho_corasick,2019564.833745,
31,256,first,0,hash,0.000000,3809223.751138
31,256,first,1,aho_corasick,3809223.751138,
31,1000,all,0,hash,0.000000,
31,1000,first,0,hash,0.000000,
31,10000,all,0,hash,0.000000,
31,10000,first,0,hash,0.000000,
31,100000,all,0,hash,0.000000,
31,100000,first,0,hash,0.000000,
31,1000000,all,0,hash,0.000000,
31,1000000,first,0,hash,0.000000,
40,1,all,0,bndmq,0.000000,
40,1,first,0,hash,0.000000,6.581804
40,1,first,1,bndmq,6.581804,
40,2,all,0,hash,0.000000,35.478660
40,2,all,1,bndmq,35.478660,
40,2,first,0,hash,0.000000,46.343872
40,2,first,1,bndmq,46.343872,
40,4,all,0,hash,0.000000,142.470446
40,4,all,1,bndmq,142.470446,
40,4,first,0,hash,0.000000,139.867221
40,4,first,1,bndmq,139.867221,
40,8,all,0,hash,0.000000,475.394080
40,8,all,1,bndmq,475.394080,
40,8,first,0,hash,0.000000,595.902147
40,8,first,1,bndmq,595.902147,
40,16,all,0,hash,0.000000,1373.296190
40,16,all,1,bndmq,1373.296190,
40,16,first,0,hash,0.000000,1918.856062
40,16,first,1,bndmq,1918.856062,
40,32,all,0,hash,0.000000,5591.894248
40,32,all,1,bndmq,5591.894248,568833.833437
40,32,all,2,aho_corasick,568833.833437,
40,32,first,0,hash,0.000000,8030.442451
40,32,first,1,bndmq,8030.442451,891787.470640
40,32,first,2,aho_corasick,891787.470640,
40,64,all,0,hash,0.000000,523088.279126
40,64,all,1,aho_corasick,523088.279126,
40,64,first,0,hash,0.000000,794627.522780
40,64,first,1,aho_corasick,794627.522780,
40,128,all,0,hash,0.000000,850682.070249
40,128,all,1,aho_corasick,850682.070249,
40,128,first,0,hash,0.000000,1397283.969178
40,128,first,1,aho_corasick,1397283.969178,
40,256,all,0,hash,0.000000,4690468.099933
40,256,all,1,aho_corasick,4690468.099933,
40,256,first,0,hash,0.000000,27118746.218961
40,256,first,1,aho_corasick,27118746.218961,
40,1000,all,0,hash,0.000000,
40,1000,first,0,hash,0.000000,
40,10000,all,0,hash,0.000000,
40,10000,first,0,hash,0.000000,
40,100000,all,0,hash,0.000000,
40,100000,first,0,hash,0.000000,
40,1000000,all,0,hash,0.000000,
40,1000000,first,0,hash,0.000000,
48,1,all,0,bndmq,0.000000,
48,1,first,0,bndmq,0.000000,
48,2,all,0,hash,0.000000,44.888598
48,2,all,1,bndmq,44.888598,
48,2,first,0,hash,0.000000,82.442900
48,2,first,1,bndmq,82.442900,
48,4,all,0,hash,0.000000,125.684975
48,4,all,1,bndmq,125.684975,
48,4,first,0,hash,0.000000,166.090486
48,4,first,1,bndmq,166.090486,
48,8,all,0,hash,0.000000,473.864826
48,8,all,1,bndmq,473.864826,
48,8,first,0,hash,0.000000,568.525097
48,8,first,1,bndmq,568.525097,
48,16,all,0,hash,0.000000,1195.145117
48,16,all,1,bndmq,1195.145117,
48,16,first,0,hash,0.000000,1440.970046
48,16,first,1,bndmq,1440.970046,
48,32,all,0,hash,0.000000,4800.140400
48,32,all,1,bndmq,4800.140400,2855346.046891
48,32,all,2,aho_corasick,2855346.046891,
48,32,first,0,hash,0.000000,6454.507066
48,32,first,1,bndmq,6454.507066,
48,64,all,0,hash,0.000000,723336.094238
48,64,all,1,aho_corasick,723336.094238,
48,64,first,0,hash,0.000000,1130154.809372
48,64,first,1,aho_corasick,1130154.809372,
48,128,all,0,hash,0.000000,1592205.472688
48,128,all,1,aho_corasick,1592205.472688,
48,128,first,0,hash,0.000000,2666478.581548
48,128,first,1,aho_corasick,2666478.581548,
48,256,all,0,hash,0.000000,5487307.821329
48,256,all,1,aho_corasick,5487307.821329,
48,256,first,0,hash,0.000000,19411939.342891
48,256,first,1,aho_corasick,19411939.342891,
48,1000,all,0,hash,0.000000,
48,1000,first,0,hash,0.000000,
48,10000,all,0,hash,0.000000,
48,10000,first,0,hash,0.000000,
48,100000,all,0,hash,0.000000,
48,100000,first,0,hash,0.000000,
48,1000000,all,0,hash,0.000000,
48,1000000,first,0,hash,0.000000,
64,1,all,0,hash,0.000000,5.035533
64,1,all,1,bndmq,5.035533,
64,1,first,0,bndmq,0.000000,
64,2,all,0,hash,0.000000,58.850422
64,2,all,1,bndmq,58.850422,
64,2,first,0,hash,0.000000,60.528708
64,2,first,1,bndmq,60.528708,
64,4,all,0,hash,0.000000,159.708246
64,4,all,1,bndmq,159.708246,
64,4,first,0,hash,0.000000,188.129409
64,4,first,1,bndmq,188.129409,
64,8,all,0,hash,0.000000,375.658100
64,8,all,1,bndmq,375.658100,
64,8,first,0,hash,0.000000,627.566041
64,8,first,1,bndmq,627.566041,
64,16,all,0,hash,0.000000,1136.693011
64,16,all,1,bndmq,1136.693011,
64,16,first,0,hash,0.000000,1356.786989
64,16,first,1,bndmq,1356.786989,
64,32,all,0,hash,0.000000,3685.772985
64,32,all,1,bndmq,3685.772985,
64,32,first,0,hash,0.000000,4497.604769
64,32,first,1,bndmq,4497.604769,
64,64,all,0,hash,0.000000,14438.916587
64,64,all,1,bndmq,14438.916587,1762592.347948
64,64,all,2,aho_corasick,1762592.347948,
64,64,first,0,hash,0.000000,36018.342761
64,64,first,1,bndmq,36018.342761,3183201.214569
64,64,first,2,aho_corasick,3183201.214569,
64,128,all,0,hash,0.000000,4230739.474955
64,128,all,1,aho_corasick,4230739.474955,
64,128,first,0,hash,0.000000,11524956.787182
64,128,first,1,aho_corasick,11524956.787182,
64,256,all,0,hash,0.000000,35061721.260267
64,256,all,1,aho_corasick,35061721.260267,
64,256,first,0,hash,0.000000,
64,1000,all,0,hash,0.000000,
64,1000,first,0,hash,0.000000,
64,10000,all,0,hash,0.000000,
64,10000,first,0,hash,0.000000,
64,100000,all,0,hash,0.000000,
64,100000,first,0,hash,0.000000,
64,1000000,all,0,hash,0.000000,
64,1000000,first,0,hash,0.000000,
80,1,all,0,hash,0.000000,38133.346218
80,1,all,1,aho_corasick,38133.346218,
80,1,first,0,hash,0.000000,26562.450707
80,1,first,1,aho_corasick,26562.450707,
80,2,all,0,hash,0.000000,
80,2,first,0,hash,0.000000,
80,4,all,0,hash,0.000000,150792.812899
80,4,all,1,aho_corasick,150792.812899,
80,4,first,0,hash,0.000000,234740.718767
80,4,first,1,aho_corasick,234740.718767,
80,8,all,0,hash,0.000000,301953.599639
80,8,all,1,aho_corasick,301953.599639,
80,8,first,0,hash,0.000000,486684.341935
80,8,first,1,aho_corasick,486684.341935,
80,16,all,0,hash,0.000000,469926.336431
80,16,all,1,aho_corasick,469926.336431,
80,16,first,0,hash,0.000000,733223.564854
80,16,first,1,aho_corasick,733223.564854,
80,32,all,0,hash,0.000000,1267551.553586
80,32,all,1,aho_corasick,1267551.553586,
80,32,first,0,hash,0.000000,2469205.528697
80,32,first,1,aho_corasick,2469205.528697,
80,64,all,0,hash,0.000000,3300705.473447
80,64,all,1,aho_corasick,3300705.473447,
80,64,first,0,hash,0.000000,10671465.740483
80,64,first,1,aho_corasick,10671465.740483,
80,128,all,0,hash,0.000000,22541809.338389
80,128,all,1,aho_corasick,22541809.338389,
80,128,first,0,hash,0.000000,
80,256,all,0,hash,0.000000,50581305.748351
80,256,all,1,aho_corasick,50581305.748351,
80,256,first,0,hash,0.000000,
80,1000,all,0,hash,0.000000,
80,1000,first,0,hash,0.000000,
80,10000,all,0,hash,0.000000,
80,10000,first,0,hash,0.000000,
80,100000,all,0,hash,0.000000,
80,100000,first,0,hash,0.000000,
80,1000000,all,0,hash,0.000000,
80,1000000,first,0,hash,0.000000,
96,1,all,0,hash,0.000000,45551.182253
96,1,all,1,aho_corasick,45551.182253,
96,1,first,0,hash,0.000000,28204.460032
96,1,first,1,aho_corasick,28204.460032,
96,2,all,0,hash,0.000000,
96,2,first,0,hash,0.000000,
96,4,all,0,hash,0.000000,233769.997816
96,4,all,1,aho_corasick,233769.997816,
96,4,first,0,hash,0.000000,350239.701548
96,4,first,1,aho_corasick,350239.701548,
96,8,all,0,hash,0.000000,442980.079776
96,8,all,1,aho_corasick,442980.079776,
96,8,first,0,hash,0.000000,761860.837642
96,8,first,1,aho_corasick,761860.837642,
96,16,all,0,hash,0.000000,653935.435067
96,16,all,1,aho_corasick,653935.435067,
96,16,first,0,hash,0.000000,1027367.708264
96,16,first,1,aho_corasick,1027367.708264,
96,32,all,0,hash,0.000000,2000863.776009
96,32,all,1,aho_corasick,2000863.776009,
96,32,first,0,hash,0.000000,5049485.289196
96,32,first,1,aho_corasick,5049485.289196,
96,64,all,0,hash,0.000000,3238829.123652
