k,patterns,algorithm,mode,status,wall_ms,detail
8,2,hash,all,ok,1345,""
8,2,bndmq,all,ok,503,""
8,2,aho_corasick,all,ok,3069,""
8,4,bndmq,all,ok,932,""
8,4,hash,all,ok,1509,""
8,4,aho_corasick,all,ok,932,""
8,8,hash,all,ok,765,""
8,8,aho_corasick,all,ok,476,""
8,8,bndmq,all,ok,859,""
8,16,aho_corasick,all,ok,465,""
8,16,hash,all,ok,409,""
8,16,bndmq,all,ok,805,""
8,32,bndmq,all,ok,792,""
8,32,hash,all,ok,404,""
8,32,aho_corasick,all,ok,467,""
8,64,hash,all,ok,349,""
8,64,bndmq,all,ok,792,""
8,64,aho_corasick,all,ok,349,""
8,128,aho_corasick,all,ok,321,""
8,128,bndmq,all,ok,789,""
8,128,hash,all,ok,322,""
8,256,aho_corasick,all,ok,349,""
8,256,hash,all,ok,348,""
8,256,bndmq,all,ok,786,""
8,1000,hash,all,ok,330,""
8,1000,aho_corasick,all,ok,324,""
8,1000,bndmq,all,ok,3052,""
8,10000,aho_corasick,all,ok,430,""
8,10000,bndmq,all,ok,30153,""
8,10000,hash,all,ok,412,""
8,100000,bndmq,all,invalid,0,"only 65536 distinct DNA patterns exist"
8,100000,hash,all,invalid,0,"only 65536 distinct DNA patterns exist"
8,100000,aho_corasick,all,invalid,0,"only 65536 distinct DNA patterns exist"
8,1000000,hash,all,invalid,0,"only 65536 distinct DNA patterns exist"
8,1000000,aho_corasick,all,invalid,0,"only 65536 distinct DNA patterns exist"
8,1000000,bndmq,all,invalid,0,"only 65536 distinct DNA patterns exist"
10,1,bndmq,first,ok,535,""
10,1,aho_corasick,first,ok,585,""
10,1,hash,first,ok,995,""
10,2,hash,first,ok,1064,""
10,2,bndmq,first,ok,614,""
10,2,aho_corasick,first,ok,2380,""
10,4,bndmq,first,ok,605,""
10,4,aho_corasick,first,ok,795,""
10,4,hash,first,ok,1142,""
10,8,aho_corasick,first,ok,403,""
10,8,hash,first,ok,570,""
10,8,bndmq,first,ok,550,""
10,16,hash,first,ok,553,""
10,16,bndmq,first,ok,523,""
10,16,aho_corasick,first,ok,380,""
10,32,bndmq,first,ok,500,""
10,32,hash,first,ok,468,""
10,32,aho_corasick,first,ok,381,""
10,64,bndmq,first,ok,499,""
10,64,hash,first,ok,413,""
10,64,aho_corasick,first,ok,351,""
10,128,hash,first,ok,322,""
10,128,bndmq,first,ok,490,""
10,128,aho_corasick,first,ok,347,""
10,256,bndmq,first,ok,494,""
10,256,hash,first,ok,320,""
