k,patterns,mode,algorithm,runs,median_fixed_ns_per_matcher,fixed_p2_5_ns_per_matcher,fixed_p97_5_ns_per_matcher,median_search_ns_per_base,search_p2_5_ns_per_base,search_p97_5_ns_per_base
8,256,first,hash,5,7764.000000000,7191.000000000,17598.700000000,1.509459751,1.495038075,1.553723444
8,1000,all,aho_corasick,5,1268748.000000000,1224749.800000000,1436981.000000000,3.411066248,3.348765015,3.438327559
8,1000,all,hash,5,17173.000000000,16618.100000000,62297.200000000,2.987390375,2.983660121,3.021681597
8,1000,first,aho_corasick,5,1435819.000000000,1252193.400000000,1662474.900000000,1.300265729,1.289139324,1.318625685
8,1000,first,hash,5,17432.000000000,16831.100000000,50045.800000000,1.002894504,0.976239849,1.074165963
8,10000,all,aho_corasick,5,10209007.000000000,9233064.800000001,10646507.900000000,13.781846196,13.554829496,13.962777992
8,10000,all,hash,5,142617.000000000,136688.100000000,353223.700000000,8.880632449,8.785155787,8.969587718
8,10000,first,aho_corasick,5,9393029.000000000,9002357.400000000,10226480.000000000,0.939056072,0.919866045,0.977229033
8,10000,first,hash,5,137917.000000000,134900.300000000,311473.300000000,0.487661185,0.483805409,0.502803210
10,1,all,aho_corasick,5,11300.453000000,10605.778200000,12694.174800000,0.588925877,0.582227437,0.606546090
10,1,all,bndmq,5,727.750000000,680.441800000,1153.250200000,0.452585219,0.440015940,0.466660595
10,1,all,hash,5,242.812000000,226.046500000,405.018400000,2.028602619,1.985088018,2.128506170
10,1,first,aho_corasick,5,10734.875000000,10239.312500000,11149.234300000,0.336655858,0.331681366,0.341567053
10,1,first,bndmq,5,650.281000000,629.204300000,1244.996600000,0.351240931,0.342307697,0.363456185
10,1,first,hash,5,276.609000000,214.470500000,344.520100000,1.389755371,1.381928301,1.460809374
10,2,all,aho_corasick,5,13871.672000000,12990.492500000,17093.159700000,5.657071485,5.605053971,5.772307647
10,2,all,bndmq,5,1382.109000000,1288.351400000,2096.587300000,0.867710633,0.862031579,0.882798363
10,2,all,hash,5,329.062000000,310.300100000,433.537300000,2.108715184,2.017825366,2.144450816
10,2,first,aho_corasick,5,15888.391000000,13203.490800000,17425.425200000,4.042653390,3.970640076,4.157872202
10,2,first,bndmq,5,1308.547000000,1263.820800000,1911.599700000,0.645306021,0.636672821,0.661235036
10,2,first,hash,5,309.953000000,290.345700000,560.747000000,1.429413185,1.407693470,1.497352792
10,4,all,aho_corasick,5,19652.906000000,18254.367000000,22963.909600000,2.182611386,2.076207369,2.258968374
10,4,all,bndmq,5,2523.609000000,2391.960600000,3056.955900000,1.607419600,1.582024453,1.641191579
10,4,all,hash,5,505.156000000,399.923900000,704.292200000,2.223626286,2.209666525,2.238699748
10,4,first,aho_corasick,5,18552.891000000,18029.472300000,22014.810600000,1.516032618,1.501196358,1.526169477
10,4,first,bndmq,5,2398.391000000,2388.188800000,3454.434700000,1.163730872,1.140459949,1.188541179
10,4,first,hash,5,507.969000000,423.107500000,551.634300000,1.545452832,1.522689107,1.603157155
10,8,all,aho_corasick,5,29407.688000000,27774.968500000,30999.584800000,2.179188046,2.111748951,2.233201482
10,8,all,bndmq,5,5354.344000000,4309.521600000,5878.187500000,3.052214219,3.023338353,3.070828663
10,8,all,hash,5,566.375000000,543.378400000,978.725200000,2.557743092,2.536201088,2.596699692
10,8,first,aho_corasick,5,34448.688000000,28274.853100000,37253.047100000,1.584817616,1.538605689,1.611482038
10,8,first,bndmq,5,4721.000000000,4433.440900000,5769.693700000,2.247436772,2.235716293,2.259200930
10,8,first,hash,5,590.469000000,550.625200000,871.175000000,1.832028035,1.764350862,1.869035965
10,16,all,aho_corasick,5,45794.188000000,44763.975000000,49236.556700000,2.085392667,1.985630944,2.153207377
10,16,all,bndmq,5,7946.062000000,7033.793300000,25496.162000000,5.927931926,5.858576905,6.035932731
10,16,all,hash,5,994.375000000,866.199600000,1310.237500000,2.595773645,2.547037379,2.616470338
10,16,first,aho_corasick,5,44662.125000000,44430.912500000,57465.413000000,1.520749396,1.514907246,1.576056883
10,16,first,bndmq,5,7461.438000000,7323.575400000,9721.331300000,4.354989440,4.305493627,4.372567513
10,16,first,hash,5,961.125000000,898.075000000,1671.612500000,1.804272453,1.796113863,1.842095070
10,32,all,aho_corasick,5,89514.500000000,79021.250000000,113815.175000000,2.128533612,2.108639281,2.172130017
10,32,all,bndmq,5,12360.625000000,11339.175000000,18797.875000000,11.719854671,11.507766892,11.958353961
10,32,all,hash,5,1704.375000000,1617.275000000,3421.775000000,2.615446806,2.516251013,2.674640078
10,32,first,aho_corasick,5,84991.000000000,80751.587500000,99042.425000000,1.550509636,1.531593585,1.573972895
10,32,first,bndmq,5,11658.000000000,11048.275000000,18519.450000000,8.383777680,8.319886848,8.613105512
10,32,first,hash,5,1769.500000000,1591.012500000,2744.987500000,1.836596857,1.770907460,1.901232629
10,64,all,aho_corasick,5,178443.000000000,147013.975000000,196300.600000000,2.185397907,2.160095719,2.259877897
10,64,all,hash,5,2569.750000000,2246.800000000,3676.175000000,2.550217898,2.495040255,2.613592482
10,64,first,aho_corasick,5,153626.500000000,144070.825000000,186518.250000000,1.567082043,1.548992488,1.617857575
10,64,first,bndmq,5,42148.500000000,35783.500000000,49892.675000000,16.879454664,16.854297299,17.110829509
10,64,first,hash,5,2607.250000000,2403.275000000,4511.550000000,1.811822565,1.754011532,1.848489206
10,128,all,aho_corasick,5,295311.000000000,270234.550000000,346508.600000000,2.295914558,2.243651011,2.331340105
10,128,all,hash,5,5435.000000000,4593.550000000,10039.200000000,2.635088620,2.483572939,3.089889063
10,128,first,aho_corasick,5,274697.500000000,268294.000000000,331032.150000000,1.657596455,1.640672440,1.692785510
10,128,first,hash,5,4503.500000000,4426.050000000,10719.850000000,1.927772894,1.872096286,2.447726773
10,256,all,aho_corasick,5,643691.000000000,506881.100000000,685454.400000000,2.460909368,2.442574644,2.484098879
10,256,all,hash,5,13365.000000000,7375.000000000,14897.900000000,2.588326613,2.538306313,2.642495681
10,256,first,aho_corasick,5,513838.000000000,495179.000000000,804300.500000000,1.799527121,1.788830257,1.829287502
10,256,first,hash,5,9548.000000000,8167.300000000,310416.200000000,1.902798174,1.859865993,1.914305591
