k,patterns,algorithm,mode,run,iterations,banks,sequences_per_bank,sequence_length,target_bases_per_cell,bases,build_ns,search_ns,total_ns,fixed_ns_per_matcher,build_ns_per_matcher,search_ns_per_base,reference_total_ns,reference_ns_per_base,validation_checksum,matching_records,matches,timed_checksum
4,8,bndmq,first,4,1,32,20834,150,100000000,100003200,409654,163319195,163758995,13743.750,12801.688,1.633139690,163332938.750,1.633277123,641994439437343755,663396,663396,641994439437343755
4,8,aho_corasick,first,0,1,32,20834,150,100000000,100003200,645445,53226411,53887134,20647.594,20170.156,0.532247078,53247058.594,0.532453547,641994439437343755,663396,663396,641994439437343755
4,8,aho_corasick,first,1,1,32,20834,150,100000000,100003200,735381,59871802,60637251,23920.281,22980.656,0.598698862,59895722.281,0.598938057,641994439437343755,663396,663396,641994439437343755
4,8,aho_corasick,first,2,1,32,20834,150,100000000,100003200,568340,59288777,59878617,18432.500,17760.625,0.592868798,59307209.500,0.593053117,641994439437343755,663396,663396,641994439437343755
4,8,aho_corasick,first,3,1,32,20834,150,100000000,100003200,584771,55371202,55973976,18836.688,18274.094,0.553694302,55390038.688,0.553882663,641994439437343755,663396,663396,641994439437343755
4,8,aho_corasick,first,4,1,32,20834,150,100000000,100003200,874261,58062118,58957348,27975.938,27320.656,0.580602601,58090093.938,0.580882351,641994439437343755,663396,663396,641994439437343755
4,8,hash,first,0,1,32,20834,150,100000000,100003200,20819,85255936,85281715,805.594,650.594,0.852532079,85256741.594,0.852540135,641994439437343755,663396,663396,641994439437343755
4,8,hash,first,1,1,32,20834,150,100000000,100003200,20699,86813318,86837232,747.312,646.844,0.868105401,86814065.312,0.868112874,641994439437343755,663396,663396,641994439437343755
4,8,hash,first,2,1,32,20834,150,100000000,100003200,13996,87814635,87832198,548.844,437.375,0.878118250,87815183.844,0.878123738,641994439437343755,663396,663396,641994439437343755
4,8,hash,first,3,1,32,20834,150,100000000,100003200,13926,85250035,85267148,534.781,435.188,0.852473071,85250569.781,0.852478419,641994439437343755,663396,663396,641994439437343755
4,8,hash,first,4,1,32,20834,150,100000000,100003200,19546,84644090,84666371,696.281,610.812,0.846413815,84644786.281,0.846420777,641994439437343755,663396,663396,641994439437343755
4,16,bndmq,first,0,1,16,41668,150,100000000,100003200,149489,176352394,176531969,11223.438,9343.062,1.763467509,176363617.438,1.763579740,16049494105963295624,666658,666658,16049494105963295624
