k,patterns,algorithm,mode,status,wall_ms,detail
12,1000000,aho_corasick,all,pruned,0,"a smaller pattern count timed out"
12,1000000,hash,all,ok,8230,""
12,1000000,bndmq,all,pruned,0,"a smaller pattern count timed out"
16,1,bndmq,first,ok,275,""
16,1,aho_corasick,first,ok,301,""
16,1,hash,first,ok,852,""
16,2,bndmq,first,ok,351,""
16,2,hash,first,ok,853,""
16,2,aho_corasick,first,ok,2307,""
16,4,bndmq,first,ok,551,""
16,4,hash,first,ok,928,""
16,4,aho_corasick,first,ok,953,""
16,8,aho_corasick,first,ok,953,""
16,8,bndmq,first,ok,878,""
16,8,hash,first,ok,1028,""
16,16,bndmq,first,ok,1555,""
16,16,aho_corasick,first,ok,953,""
16,16,hash,first,ok,1053,""
16,32,aho_corasick,first,ok,928,""
16,32,bndmq,first,ok,2859,""
16,32,hash,first,ok,1028,""
16,64,bndmq,first,ok,5442,""
16,64,aho_corasick,first,ok,953,""
16,64,hash,first,ok,1053,""
16,128,bndmq,first,timed_out,2257,"one matcher-build plus corpus-search iteration took 2115.176 ms"
16,128,aho_corasick,first,ok,1028,""
16,128,hash,first,ok,1028,""
16,256,aho_corasick,first,ok,1128,""
16,256,bndmq,first,pruned,0,"a smaller pattern count timed out"
16,256,hash,first,ok,1028,""
16,1000,bndmq,first,pruned,0,"a smaller pattern count timed out"
16,1000,hash,first,ok,1003,""
16,1000,aho_corasick,first,ok,1756,""
16,10000,bndmq,first,pruned,0,"a smaller pattern count timed out"
16,10000,hash,first,ok,1254,""
16,10000,aho_corasick,first,ok,3788,""
16,100000,aho_corasick,first,timed_out,2836,"one matcher-build plus corpus-search iteration took 2667.950 ms"
16,100000,hash,first,ok,2383,""
16,100000,bndmq,first,pruned,0,"a smaller pattern count timed out"
16,1000000,hash,first,ok,3613,""
16,1000000,bndmq,first,pruned,0,"a smaller pattern count timed out"
16,1000000,aho_corasick,first,pruned,0,"a smaller pattern count timed out"
16,1,aho_corasick,all,ok,451,""
16,1,bndmq,all,ok,301,""
16,1,hash,all,ok,1154,""
16,2,hash,all,ok,1179,""
16,2,bndmq,all,ok,426,""
