k,patterns,mode,best_algorithm,median_reference_ns_per_base,second_algorithm,margin_pct
24,1000000,all,hash,7.448961902,,
24,1000000,first,hash,6.399010642,,
27,16,all,aho_corasick,2.219899938,bndmq,3.3180
27,16,first,aho_corasick,1.673717017,bndmq,3.4457
27,128,all,aho_corasick,2.342474835,hash,1.9833
29,16,all,aho_corasick,2.130331998,bndmq,7.1335
29,16,first,aho_corasick,1.714426888,hash,1.8264
30,16,all,bndmq,2.032145369,aho_corasick,6.5100
30,16,first,bndmq,1.502672230,aho_corasick,7.5650
31,1,all,bndmq,0.251781598,aho_corasick,163.9704
31,1,first,bndmq,0.236652480,aho_corasick,27.2032
31,2,all,bndmq,0.381651244,hash,407.5750
31,2,first,bndmq,0.324824208,hash,345.9097
31,4,all,bndmq,0.635707117,aho_corasick,229.1676
31,4,first,bndmq,0.488337036,hash,204.3160
31,8,all,bndmq,1.151656722,aho_corasick,80.9238
31,8,first,bndmq,0.828521771,aho_corasick,95.5685
31,16,all,bndmq,1.994807352,aho_corasick,11.9048
31,16,first,bndmq,1.442551228,aho_corasick,11.5572
31,17,all,aho_corasick,2.119761679,bndmq,4.1706
31,17,first,aho_corasick,1.605823939,bndmq,0.2064
31,19,all,aho_corasick,2.137807930,bndmq,14.7658
31,19,first,aho_corasick,1.614287141,bndmq,14.2669
31,23,all,aho_corasick,2.261026531,hash,25.2858
31,23,first,aho_corasick,1.619919812,bndmq,23.8628
31,32,all,aho_corasick,2.197986516,hash,15.6191
31,32,first,aho_corasick,1.644928798,hash,4.0003
31,64,all,aho_corasick,2.266595127,hash,7.5506
31,64,first,aho_corasick,1.664643280,hash,2.9951
31,91,first,aho_corasick,1.752532173,hash,37.4180
31,108,first,aho_corasick,1.785953996,hash,148.2077
31,118,first,hash,1.758187668,aho_corasick,1.4342
31,128,all,aho_corasick,2.367976604,hash,3.4364
31,128,first,hash,1.845093475,aho_corasick,3.0035
31,181,all,aho_corasick,2.584794425,hash,61.4083
31,215,all,aho_corasick,2.836370482,hash,134.3830
31,235,all,hash,2.379123292,aho_corasick,16.6273
31,256,all,hash,2.398106084,aho_corasick,18.8856
31,256,first,hash,1.705724289,aho_corasick,37.5950
31,1000,all,hash,2.350485939,aho_corasick,88.6229
31,1000,first,hash,1.677058686,aho_corasick,110.5215
31,10000,all,hash,2.816342827,aho_corasick,294.2955
31,10000,first,hash,2.019379541,aho_corasick,317.2002
31,100000,all,hash,5.282937494,,
31,100000,first,hash,4.181560097,,
31,1000000,all,hash,7.220857428,,
31,1000000,first,hash,6.555073260,,
35,32,first,aho_corasick,1.663909135,hash,1.6939
35,64,first,aho_corasick,1.720255855,hash,4.2839
35,128,all,aho_corasick,2.412976119,hash,1.4170
36,64,first,hash,1.715422227,aho_corasick,1.3249
36,128,all,hash,2.385498299,aho_corasick,0.6553
37,64,first,hash,1.725972230,aho_corasick,3.8892
37,128,all,hash,2.360551569,aho_corasick,1.9443
40,1,all,bndmq,0.245608975,aho_corasick,281.4406
40,1,first,bndmq,0.259735572,aho_corasick,108.8526
40,2,all,bndmq,0.338338711,hash,444.2863
40,2,first,bndmq,0.324842299,hash,331.1431
40,4,all,bndmq,0.521545728,hash,297.7815
40,4,first,bndmq,0.443778788,hash,239.8284
40,8,all,bndmq,0.913199656,aho_corasick,126.5525
40,8,first,bndmq,0.756566711,aho_corasick,127.1452
40,16,all,bndmq,1.609741072,aho_corasick,33.7539
40,16,first,bndmq,1.248083602,aho_corasick,31.9410
40,17,all,bndmq,1.733679263,aho_corasick,21.9635
40,19,all,aho_corasick,2.155531933,bndmq,3.9000
40,19,first,bndmq,1.501335625,aho_corasick,9.2340
40,21,first,bndmq,1.609403473,aho_corasick,6.0419
40,23,all,aho_corasick,2.206565045,bndmq,1.6783
