k,patterns,mode,region,algorithm,min_bases_inclusive,max_bases_exclusive
16,128,all,1,aho_corasick,3072958.513389,
16,128,first,0,hash,0.000000,8147589.804982
16,128,first,1,aho_corasick,8147589.804982,
16,256,all,0,hash,0.000000,
16,256,first,0,hash,0.000000,
16,1000,all,0,hash,0.000000,
16,1000,first,0,hash,0.000000,
16,10000,all,0,hash,0.000000,
16,10000,first,0,hash,0.000000,
16,100000,all,0,hash,0.000000,
16,100000,first,0,hash,0.000000,
16,1000000,all,0,hash,0.000000,
16,1000000,first,0,hash,0.000000,
20,1,all,0,hash,0.000000,270.864460
20,1,all,1,bndmq,270.864460,
20,1,first,0,hash,0.000000,446.823587
20,1,first,1,bndmq,446.823587,
20,2,all,0,hash,0.000000,679.750641
20,2,all,1,bndmq,679.750641,
20,2,first,0,hash,0.000000,1063.230265
20,2,first,1,bndmq,1063.230265,
20,4,all,0,hash,0.000000,1572.972411
20,4,all,1,bndmq,1572.972411,
20,4,first,0,hash,0.000000,2457.517749
20,4,first,1,bndmq,2457.517749,
20,8,all,0,hash,0.000000,4408.264012
20,8,all,1,bndmq,4408.264012,
20,8,first,0,hash,0.000000,6436.811895
20,8,first,1,bndmq,6436.811895,
20,16,all,0,hash,0.000000,381722.186926
20,16,all,1,aho_corasick,381722.186926,
20,16,first,0,hash,0.000000,368529.714935
20,16,first,1,aho_corasick,368529.714935,
20,32,all,0,hash,0.000000,530783.223887
20,32,all,1,aho_corasick,530783.223887,
20,32,first,0,hash,0.000000,969328.871006
20,32,first,1,aho_corasick,969328.871006,
20,64,all,0,hash,0.000000,1278481.450860
20,64,all,1,aho_corasick,1278481.450860,
20,64,first,0,hash,0.000000,2217225.233035
20,64,first,1,aho_corasick,2217225.233035,
20,128,all,0,hash,0.000000,2215093.531722
20,128,all,1,aho_corasick,2215093.531722,
20,128,first,0,hash,0.000000,3919038.075859
20,128,first,1,aho_corasick,3919038.075859,
20,256,all,0,hash,0.000000,
20,256,first,0,hash,0.000000,
20,1000,all,0,hash,0.000000,
20,1000,first,0,hash,0.000000,
20,10000,all,0,hash,0.000000,
20,10000,first,0,hash,0.000000,
20,100000,all,0,hash,0.000000,
20,100000,first,0,hash,0.000000,
20,1000000,all,0,hash,0.000000,
20,1000000,first,0,hash,0.000000,
24,1,all,0,hash,0.000000,321.732926
24,1,all,1,bndmq,321.732926,
24,1,first,0,hash,0.000000,613.968358
24,1,first,1,bndmq,613.968358,
24,2,all,0,hash,0.000000,860.724013
24,2,all,1,bndmq,860.724013,
24,2,first,0,hash,0.000000,837.818979
24,2,first,1,bndmq,837.818979,
24,4,all,0,hash,0.000000,1411.133023
24,4,all,1,bndmq,1411.133023,
24,4,first,0,hash,0.000000,2505.591854
24,4,first,1,bndmq,2505.591854,
24,8,all,0,hash,0.000000,3870.955193
24,8,all,1,bndmq,3870.955193,
24,8,first,0,hash,0.000000,4814.286910
24,8,first,1,bndmq,4814.286910,
24,16,all,0,hash,0.000000,149186.227872
24,16,all,1,bndmq,149186.227872,369422.447191
24,16,all,2,aho_corasick,369422.447191,
24,16,first,0,hash,0.000000,1683133.344376
24,16,first,1,aho_corasick,1683133.344376,
24,32,all,0,hash,0.000000,1287432.934811
24,32,all,1,aho_corasick,1287432.934811,
24,32,first,0,hash,0.000000,4724042.811711
24,32,first,1,aho_corasick,4724042.811711,
24,64,all,0,hash,0.000000,1470059.927827
24,64,all,1,aho_corasick,1470059.927827,
24,64,first,0,hash,0.000000,3806251.214237
24,64,first,1,aho_corasick,3806251.214237,
24,128,all,0,hash,0.000000,37983926.474841
24,128,all,1,aho_corasick,37983926.474841,
24,128,first,0,hash,0.000000,
24,256,all,0,hash,0.000000,
24,256,first,0,hash,0.000000,
24,1000,all,0,hash,0.000000,
24,1000,first,0,hash,0.000000,
24,10000,all,0,hash,0.000000,
24,10000,first,0,hash,0.000000,
24,100000,all,0,hash,0.000000,
24,100000,first,0,hash,0.000000,
24,1000000,all,0,hash,0.000000,
24,1000000,first,0,hash,0.000000,
31,1,all,0,hash,0.000000,258.607873
31,1,all,1,bndmq,258.607873,
31,1,first,0,hash,0.000000,322.746243
31,1,first,1,bndmq,322.746243,
31,2,all,0,hash,0.000000,561.547195
31,2,all,1,bndmq,561.547195,
31,2,first,0,hash,0.000000,767.779662
31,2,first,1,bndmq,767.779662,
31,4,all,0,hash,0.000000,1225.803106
31,4,all,1,bndmq,1225.803106,
31,4,first,0,hash,0.000000,1803.308265
31,4,first,1,bndmq,1803.308265,
31,8,all,0,hash,0.000000,3229.243769
31,8,all,1,bndmq,3229.243769,
31,8,first,0,hash,0.000000,3841.370021
31,8,first,1,bndmq,3841.370021,
31,16,all,0,hash,0.000000,16144.003894
31,16,all,1,bndmq,16144.003894,
31,16,first,0,hash,0.000000,22433.014011
31,16,first,1,bndmq,22433.014011,
31,32,all,0,hash,0.000000,725803.743568
31,32,all,1,aho_corasick,725803.743568,
31,32,first,0,hash,0.000000,3498377.828434
31,32,first,1,aho_corasick,3498377.828434,
31,64,all,0,hash,0.000000,2933774.206625
31,64,all,1,aho_corasick,2933774.206625,
31,64,first,0,hash,0.000000,8513238.691993
31,64,first,1,aho_corasick,8513238.691993,
31,128,all,0,hash,0.000000,10326414.001766
31,128,all,1,aho_corasick,10326414.001766,
31,128,first,0,hash,0.000000,
31,256,all,0,hash,0.000000,
31,256,first,0,hash,0.000000,
31,1000,all,0,hash,0.000000,
31,1000,first,0,hash,0.000000,
31,10000,all,0,hash,0.000000,
31,10000,first,0,hash,0.000000,
31,100000,all,0,hash,0.000000,
31,100000,first,0,hash,0.000000,
31,1000000,all,0,hash,0.000000,
31,1000000,first,0,hash,0.000000,
40,1,all,0,hash,0.000000,350.611815
40,1,all,1,bndmq,350.611815,
40,1,first,0,hash,0.000000,320.459376
40,1,first,1,bndmq,320.459376,
40,2,all,0,hash,0.000000,597.038399
40,2,all,1,bndmq,597.038399,
40,2,first,0,hash,0.000000,890.465779
40,2,first,1,bndmq,890.465779,
40,4,all,0,hash,0.000000,1241.873536
40,4,all,1,bndmq,1241.873536,
40,4,first,0,hash,0.000000,1892.791223
40,4,first,1,bndmq,1892.791223,
40,8,all,0,hash,0.000000,2483.404826
40,8,all,1,bndmq,2483.404826,
40,8,first,0,hash,0.000000,3300.596059
40,8,first,1,bndmq,3300.596059,
40,16,all,0,hash,0.000000,9764.834498
40,16,all,1,bndmq,9764.834498,
40,16,first,0,hash,0.000000,15442.739927
40,16,first,1,bndmq,15442.739927,
40,32,all,0,hash,0.000000,18558794.423030
40,32,all,1,aho_corasick,18558794.423030,
40,32,first,0,hash,0.000000,4297836.985660
40,32,first,1,aho_corasick,4297836.985660,
40,64,all,0,hash,0.000000,96852080.418584
40,64,all,1,aho_corasick,96852080.418584,
40,64,first,0,hash,0.000000,
40,128,all,0,hash,0.000000,
40,128,first,0,hash,0.000000,
40,256,all,0,hash,0.000000,
40,256,first,0,hash,0.000000,
40,1000,all,0,hash,0.000000,
40,1000,first,0,hash,0.000000,
40,10000,all,0,hash,0.000000,
40,10000,first,0,hash,0.000000,
40,100000,all,0,hash,0.000000,
40,100000,first,0,hash,0.000000,
40,1000000,all,0,hash,0.000000,
40,1000000,first,0,hash,0.000000,
48,1,all,0,hash,0.000000,232.557165
48,1,all,1,bndmq,232.557165,
48,1,first,0,hash,0.000000,317.682240
48,1,first,1,bndmq,317.682240,
48,2,all,0,hash,0.000000,627.012758
48,2,all,1,bndmq,627.012758,
48,2,first,0,hash,0.000000,908.978399
48,2,first,1,bndmq,908.978399,
48,4,all,0,hash,0.000000,1112.865401
48,4,all,1,bndmq,1112.865401,
48,4,first,0,hash,0.000000,1829.997299
48,4,first,1,bndmq,1829.997299,
